hospitalid,teachingstatus
56,false
58,false
59,false
60,false
61,false
63,false
66,false
68,false
69,false
71,false
84,false
90,false
92,false
94,false
95,false
108,false
110,false
112,false
115,false
120,false
123,false
125,false
131,false
135,false
136,false
138,false
140,true
141,false
143,false
144,false
146,false
148,false
151,false
152,false
154,false
155,false
156,false
157,false
158,false
164,false
171,false
174,false
175,false
179,false
180,false
182,false
184,false
194,false
195,true
196,false
200,false
201,false
202,false
203,false
204,false
205,false
206,false
207,false
210,false
215,true
217,false
220,true
224,false
226,false
227,false
244,false
245,false
246,false
248,false
249,false
250,false
251,false
253,false
256,false
258,false
259,true
262,false
267,false
272,false
273,false
275,false
277,false
279,false
280,false
281,false
282,false
283,false
301,false
307,false
310,false
312,false
318,false
328,false
336,false
342,false
345,false
353,false
355,false
356,false
358,false
360,false
361,false
363,false
364,false
381,false
383,false
384,false
386,false
388,false
389,false
390,false
391,false
392,false
393,false
394,false
396,false
397,false
398,false
399,false
400,false
402,false
403,false
404,false
405,false
407,false
408,false
412,false
417,false
419,false
421,false
422,false
423,false
424,false
425,false
428,false
434,false
435,false
436,false
437,false
439,false
440,false
445,false
459,false